asana_id,asana_iast,asana_devanagari,stage_id
001,Tāḍāsana,ताडासन,null
002,Vṛkṣāsana,वृक्षासन,null
003,Utthita Trikoṇāsana,उत्थित त्रिकोणासन,null
004,Parivṛtta Trikoṇāsana,परिवृत्त त्रिकोणासन,null
005,Utthita Pārśvakoṇāsana,उत्थितपार्श्वकोणासन focus,null
006,Parivṛtta Pārśvakoṇāsana,परिवृत्त पार्श्वकोणासन,null
007,Vīrabhadrāsana I,वीरभद्रासन,null
008,Vīrabhadrāsana II,वीरभद्रासन,null
009,Vīrabhadrāsana III,वीरभद्रासन,null
010,Ardha Chandrāsana,अर्धचन्द्रासन,157
011,Utthita Pādāṅguṣṭhāsana,उत्थितहस्तपादाङ्गुष्ठासन,1
012,Pārśvōttānāsana,पार्श्वोत्तानासन,2
012,Pārśvōttānāsana,पार्श्वोत्तानासन,3
012,Pārśvōttānāsana,पार्श्वोत्तानासन,4
013,Prasārita Pādottānāsana I,प्रसारित पादोत्तानासन,null
014,Prasārita Pādottānāsana II,प्रसारित पादोत्तानासन,null
015,Parighāsana,परिघासन,null
016,Uṣṭrasana,उष्ट्रासन,null
017,Utkaṭāsana,उत्कटासन,null
018,Pādāngụṣthāsana,पादाङ्गुष्ठासन,null
019,Pāda Hastāsana,पादहस्तासन,null
020,Uttānāsana,उत्तानासन,5
020,Uttānāsana,उत्तानासन,6
020,Uttānāsana,उत्तानासन,146
020,Uttānāsana,उत्तानासन,147
021,Ūrdhva Prasārita Ekapādāsana,ऊर्ध्व प्रसारित एकपादासन,null
022,Ardha Baddha Padmottānāsana,अर्ध बद्ध पद्मोत्तानासन,null
023,Garụdāsana,ग़रुडासन,null
024,Vātāyanāsana,वातायनासन,null
025,Śalabhāsana,शलभासन,null
026,Makarāsana,मकरासनो़,null
027,Dhanurāsana,धनुरासनोपाधिकम्,null
028,Pārśva Dhanurāsana,पार्श्वधनुरासनम्,null
029,Chaturanga Dạṇdāsana,चतुरङ्ग दण्डासन,null
030,Nakrāsana,नक्रासन,null
031,Bhujaṅgasana I,भुजङ्गासन,null
032,Ūrdhva Mukha Śvānāsana,ऊर्ध्वमुखश्वानासन,null
033,Adho Mukha Śvānāsana,अधोमुखश्वानासन,null
034,Paripūṛna Nāvāsana,परिपूर्ण नावासन,null
035,Dạṇdāsana,दण्डासन,null
036,Ardha Nāvāsana,अर्धनवासन,null
037,Gomukhāsana,गोमुखासऩ,143
037,Gomukhāsana,गौमुखासन,153
038,Lolāsana,लोलासन,null
039,Siddhāsana,सिद्धासन,null
040,Vīrāsana,वीरासन,8
040,Vīrāsana,वीरासन,156
040,Vīrāsana,वीरासन,161
041,Supta Vīrāsana,सुप्त वीरासन,155
042,Paryankāsana,पर्यङ्कासन,null
043,Bhekāsana,भेकासन,null
044,Baddha Kọnāsana,बद्धकोणासन,152
045,Padmāsana,पद्मासन,null
046,Sanmukhī Mudrā,षण्मुखी मुद्रा,null
047,Parvatāsana,पर्वतासन,9
047,Parvatāsana,पर्वतासन,141
047,Parvatāsana,पर्वतासन,142
048,Tolāsana,तोलासन,null
049,Sịmhāsana I,सिंहासन,null
050,Sịmhāsana II,सिंहासन,null
051,Matsyāsana,मत्स्यासन,10
052,Kukkụtāsana,कुक्कुटासन,null
053,Garbha Piṇdāsana,गर्भ पिण्डासन,null
054,Goraḳsāsana,गोरक्षासन,null
055,Baddha Padmāsana,बद्धपद्मासनम्,null
056,Yogadạṇdāsana,योगदण्डासन,null
057,Supta Vajrasana,सुप्तवज्रासन,null
058,Mahā Mudrā,महामुद्रा,null
059,Jānu Śīṛsāsana,जानुशीर्षासन,11
059,Jānu Śīṛsāsana,जानुशीर्षासन,12
059,Jānu Śīṛsāsana,जानुशीर्षासन,137
059,Jānu Śīṛsāsana,जानुशीर्षासन,154
060,Parivṛtta Jānu Śīṛsāsana,परिवृत्तजानुशीर्षासन,null
061,Ardha Baddha Padma Paschimottānāsana,अर्ध बद्ध पद्म पश्चिमोत्तानासन,139
062,Triangā Mukhaikapāda Paschimottānāsana,त्र्यङ्ग मुखैकपाद पश्चिमोत्तानासन,13
062,Triangā Mukhaikapāda Paschimottānāsana,त्रियङ्ग मुखैकपाद पश्चिमोत्तानासन,14
062,Triangā Mukhaikapāda Paschimottānāsana,त्र्यङ्ग मुखैकपाद पश्चिमोत्तानासन,138
063,Krounchāsana,क्रौञ्चासन,null
064,Marīchyāsana I,मरीच्यासन,15
064,Marīchyāsana I,मरीच्यासन,16
064,Marīchyāsana I,मरीच्यासन,144
065,Marīchyāsana II,मरीच्यासन,null
066,Upavịṣtha Kọnāsana,उपविष्टकोणासन,158
067,Paścimottānāsana,पश्चिमोत्तानासन,17
067,Paścimottānāsana,पश्चिमोत्तानासन,18
068,Parivṛtta Paschimottānāsana,परिवृत्त पश्चिमोत्तानासन,null
069,Ūrdhva Mukha Paschimottānāsana I,ऊर्ध्वमुखपश्चिमोत्तानासन,null
070,Ubhaya Pādāngụṣthāsana,उभय पादाङ्गुष्ठासन,null
071,Ūrdhva Mukha Paschimottānāsana II,ऊर्ध्वमुखपश्चिमोत्तानासन,null
072,Pūrvottānāsana,पूर्वोत्तानासन,null
073,Ākaṛna Dhanurāsana,आकर्ण धनुरासन,null
074,Sālamba Śīṛsāsana I,सालम्ब शीर्षासन,19
074,Sālamba Śīṛsāsana I,सालम्ब शीर्षासन,20
074,Sālamba Śīṛsāsana I,सालम्ब शीर्षासन,21
074,Sālamba Śīṛsāsana I,सालम्ब शीर्षासन,159
074,Sālamba Śīṛsāsana I,सालम्ब शीर्षासन,160
075,Ūrdhva Dạṇdāsana,ऊर्ध्वदण्डासन,null
076,Sālamba Śīṛsāsana II,सालम्ब शीर्षासन,null
077,Sālamba Śīṛsāsana III,सालम्ब शीर्षासन,null
078,Baddha Hasta Śīṛsāsana,बद्धहस्तशीर्षासन,null
079,Mukta Hasta Śīrsāsana,मुक्तहस्तशीर्षासन,null
080,Pārśva Śīṛsāsana,पार्श्व शीर्षासन,null
081,Parivṛtta Eka Pāda Śīrṣāsana,परिवृत्तैकपादशीर्षासन,null
082,Eka Pāda Śīṛsāsana,एकपादशीर्षासन,null
083,Pārśvaika Pāda Śīṛsāsana,पार्श्वैकपादशीर्षासन,null
084,Ūrdhva Padmāsana in Śīṛsāsana,ऊर्ध्वपद्मासन,null
085,Pārśva Ūrdhva Padmāsana in Śīṛsāsana,पार्श्व ऊर्ध्व पद्मासन शीर्षासन,null
086,Piṇdāsana in Śīṛsāsana,शीर्षासने पिण्डासनम्,null
087,Sālamba Sarvāngāsana I,सालम्ब सर्वाङ्गासन,22
087,Sālamba Sarvāngāsana I,सर्वाङ्गासन,149
088,Sālamba Sarvāngāsana II,सालम्ब सर्वाङ्गासन,null
089,Nirālamba Sarvāngāsana I,निरालम्बसर्वाङ्गासन,null
090,Nirālamba Sarvāngāsana II,निरालम्ब सर्वाङ्गासन,null
091,Halāsana,हलासन,null
092,Kaṛnapīdāsana,कर्णापीडासन,null
093,Supta Kọnāsana,सुप्तकोणासन,null
094,Pārśva Halāsana,पाश्र्व हलासन,null
095,Eka Pāda Sarvāngāsana,एकपादसर्वाङ्गासन,null
096,Pārśvaika Pāda Sarvāngāsana,सर्वाङ्गासन,null
097,Pārśva Sarvāngāsana,पार्श्वसर्वाङ्गासन,null
098,Setu Bandhāsana Sarvāngāsana,सेतु बन्ध सर्वाङ्गासन,135
098,Setu Bandhāsana Sarvāngāsana,सेतु बन्ध सर्वाङ्गासन,136
098,Setu Bandhāsana Sarvāngāsana,सेतुबन्धसर्वाङ्गासन,145
099,Eka Pāda Setu Bandha Sarvāngāsana (Eka Pāda Uttāna Mayūrāsana),एक पाद सेतु बन्ध सर्वाङ्गासन,null
100,Ūrdhva Padmāsana in Sarvāngāsana,ऊर्ध्व पद्मासन सर्वाङ्गासन,null
101,Pārśva Ūrdhva Padmāsana in Sarvāngāsana,पार्श्वोर्ध्वपद्मासन,null
102,Uttāna Padma Mayūrāsana,उत्तानपद्ममयूरासन,null
103,Piṇdāsana in Sarvāngāsana,पिण्डासनं सर्वाङ्गासने,null
104,Pārśva Piṇdāsana in Sarvāngāsana,पार्श्वपिण्डासन,null
105,Jạthara Parivartanāsana,जठरपरिवर्तनासन,null
106,Ūrdhva Prasārita Pādāsana,ऊर्ध्व प्रसारित पादासन,24
107,Chakrāsana,चक्रासन,null
108,Supta Pādāngụṣtāsana,सुप्तपादाङ्गुष्ठासन,25
109,Anantāsana,अनन्तासन,null
110,Uttāna Pādāsana,उत्तान पादासन,null
111,Setu Bandhasana,सेतुबन्धासन,null
112,Bharadvājāsana I,भरद्वाजासन,26
113,Bharadvājāsana II,भरद्वाजासन,null
114,Marīchyāsana III,मरीच्यासन,null
115,Marīchyāsana IV,मरीच्यासन,null
116,Ardha Matsyendrāsana I,अर्धमत्स्येन्द्रासन,null
117,Mālāsana I,मालासन,27
118,Mālāsana II,मालासन,null
119,Pāśāna,पाशासन,null
120,Ardha Matsyendrāsana II,अर्ध मत्स्येन्द्रासन,null
121,Ardha Matsyendrāsana III,अर्धमत्स्येन्द्रासन,null
122,Paripūṛna Matsyendrāsana,परिपूर्णमत्स्येन्द्रासन,null
123,Ạṣtāvakrāsana,अष्टावक्रासन,null
124,Eka Hasta Bjujāsana,एकहस्तभुजासन,null
125,Dwi Hasta Bhujāsana,द्विहस्तभुजासन,null
126,Bjujapidāsana,भुजपीडासन,null
127,Mayūrāsana,मयूरासन,null
128,Padma Mayūrāsana,पद्म मयूरासन,null
129,Hạmsāsana,हंसासन,null
130,Pīncha Mayūrāsana,पिञ्चमयूरासन,null
131,Sayanāsana,शयनासन,null
132,Adho Mukha Ṿrḳsāsana,अधोमुखवृक्षासन,null
133,Kūrmāsana,कूर्मासन,null
134,Supta Kūrmāsana,सुप्तकूर्मासन,null
135,Eka Pāda Śīṛsāsana,एकपाद शीर्षासन,null
136,Skandāsana,स्कन्दासन,null
137,Buddhāsana,बुद्धासन,null
138,Kapilāsana,कपिलासन,null
139,Bhairavāsana,भैरवासन,null
140,Kāla Bhairavāsana,कालभैरवासन,null
141,Chakorāsana,चकोरासन,null
142,Dūrvāsāna,दुर्वासासन,null
143,Ruchikāsana,रुचिकासन,null
144,Viranchyāsana I,विरञ्च्यासन,null
145,Viranchyāsana II,विरञ्च्यासन,null
146,Yoganidrāsana,योगनिद्रासन,null
147,Dwi Pāda Śīṛsāsana,द्विपादशीर्षासन,null
148,Tittibhāsana,टिट्टिभासन,null
149,Vasịṣthāsana,वसिष्ठासन,null
150,Kaśypāsana,कश्यपासन,null
151,Viśvāmitrāsana,विश्वामित्रासन,null
152,Bakāsana,बकासन,162
153,Pārśva Bakāsana,पार्श्वबकासन,null
154,Ūrdhva Kukkutāsana,ऊर्ध्वकुक्कुटासन,null
155,Pārśva Kukkụtāsana,पार्श्व कुक्कुटासन,null
156,Gālavāsana,गालवासन,null
157,Eka Pāda Gālavāsana,एक पाद गालवासन,null
158,Dwi Pāda Koụṇdinyāsana,द्विपादविपरीतदण्डासन,null
159,Eka Pāda Koụṇdinyāsana I,एकपादकौण्डिन्यासन,null
160,Eka Pāda Koụṇdinyāsana II,एकपादकौण्डिन्यासन,null
161,Eka Pāda Bakāsana I,एकपादबकासन,null
162,Eka Pāda Bakāsana II,एक पाद बकासन,null
163,Yoga Mudrāsana,योगमुद्रासन,null
164,Supta Bhekāsana,सुप्त भेकासन,null
165,Mūlabhandāsana,मूलबन्धासन,null
166,Vāmadevāsana I,वामदेवासन,null
167,Vāmadevāsana II,वामदेवासन,null
168,Kandāsana,कन्दासन,null
169,Hanumānāsana,हनुमानासन,null
170,Samakọnāsana,समकोणासन,null
171,Supta Trivikramāsana,सुप्त त्रिविक्रमासन,null
172,Ūrdhva Dhanurāsana I,ऊर्ध्वधनुरासन,163
172a,Ūrdhva Dhanurāsana II,ऊर्ध्वधनुरासन,null
173,Viparīta Chakrāsana in Ū. Dh.,विपरीत चक्रासन,null
174,Eka Pāda Ūrdhva Dhanurāsana,एकपादऊर्ध्वधनुरासन,null
175,Kapotāsana,कपोतासन,null
176,Laghuvajrāsana,लघुवज्रासनँ,null
177,Dwi Pāda Viparīta Dạṇdāsana,द्विपादविपरीतदण्डासन,28
177,Dwi Pāda Viparīta Dạṇdāsana,द्वि पाद विपरीत दण्डासन,29
178,Eka Pāda Viparīta Dạṇdāsana I,एकपादविपरीतदण्डासन,null
179,Eka Pāda Viparīta Dạṇdāsana II,एक पाद विपरीत दण्डासन,null
180,Chakra Bandhāsana,चक्रबन्धासन,null
181,Mạṇdalāsana,मण्डलासन,null
182,Ṿrśchikāsana I,वृश्चिकासन,null
183,Ṿrśchikāsana II,वृश्चिकासान,null
184,Eka Pāda Rājakapotāsana I,एक पाद राजकपोतासन,null
185,Vālakhilyāsana,वालखिल्यासन,null
186,Eka Pāda Rājakapotāsana II,एक पाद राजकपोतासन,null
187,Eka Pāda Rājakapotāsana III,एक पाद राजकपोतासन,null
188,Eka Pāda Rājakapotāsana IV,एक पाद राजकपोतासन,null
189,Bhujangāsana II,भुजङ्गासनम्,null
190,Rājakapotāsana,राजकपोतासन,null
191,Pādāngụṣtha Dhanurāsana,पादाङ्गुष्ठधनुरासन,null
192,Gherạṇdāsana I,घेरण्डासन,null
193,Gherạṇdāsana II,घेरण्डासन,null
194,Kapiṅjalāsana,कपिञ्जलासन,null
195,Sīṛsa Pādāsana,शीर्ष पादासन,null
196,Gạṇda Bherụṇdāsana,गण्डभेरुण्डासन,null
197,Viparīta Śalabhāsana,विपरीतशलभासन,null
198,Tiriang Mukhottānāsana,तिर्यङ्मुखोत्तानासन,null
199,Nạtarājāsana,नटराजासन,null
200,Śavāsana,शवासन,30
201,Uḍḍīyāna Bandha,उड्डीयानबन्ध,null
202,Nauli,नौली,null
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,31
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,32
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,33
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,34
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,35
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,36
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,37
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,38
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,39
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,40
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,41
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,42
203,Ujjāyī Prāṇāyāma,उज्जायी प्राणायाम,43
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदनप्राणायाम,44
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,45
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,46
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदनप्राणायाम,47
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,48
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,49
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,50
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,51
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,52
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदनप्राणायाम,53
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदनप्राणायाम,54
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,55
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदनप्राणायाम,56
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,57
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,58
204,Sūrya Bhedana Prāṇāyāma,सूर्यभेदन प्राणायाम,59
205,Nāḍī Śodhana Prāṇāyāma,नाडीशोधनप्राणायाम,60
205,Nāḍī Śodhana Prāṇāyāma,नाडीशोधनप्राणायाम,61
205,Nāḍī Śodhana Prāṇāyāma,नाडी शोधन प्राणायाम,62
205,Nāḍī Śodhana Prāṇāyāma,नाडी शोधन प्राणायाम,63
205,Nāḍī Śodhana Prāṇāyāma,नाडीशोधनप्राणायाम,64
205,Nāḍī Śodhana Prāṇāyāma,नाडी शोधन प्राणायाम,65
205,Nāḍī Śodhana Prāṇāyāma,नाडी शोधन प्राणायाम,66
205,Nāḍī Śodhana Prāṇāyāma,नाड़ी शोधन प्राणायाम,67
206,Bhasrīkā Prāṇāyāma,भस्त्रिका प्राणायाम,68
206,Bhasrīkā Prāṇāyāma,भस्त्रिका प्राणायाम,69
206,Bhasrīkā Prāṇāyāma,भस्त्रिका प्राणायाम,70
206,Bhasrīkā Prāṇāyāma,भस्त्रिका प्राणायाम,71
207,Kapālabhāti Prānāyāma,कपालभाति,72
207,Kapālabhāti Prānāyāma,कपालभाति प्राणायाम,73
207,Kapālabhāti Prānāyāma,कपालभाति प्राणायाम,74
207,Kapālabhāti Prānāyāma,कपालभाति प्राणायाम,75
208,Bhrāmarī Prāṇāyāma,भ्रामरी प्राणायाम,null
209,Śītalī Prāṇāyāma,शीतली प्राणायाम,76
209,Śītalī Prāṇāyāma,शीतली प्राणायाम,77
209,Śītalī Prāṇāyāma,शीतली प्राणायाम,78
210,Śītkārī Prāṇāyāma,शीत्कारी प्राणायाम,79
210,Śītkārī Prāṇāyāma,शीत्कारी प्राणायाम,80
210,Śītkārī Prāṇāyāma,शीत्कारी प्राणायाम,81
211,Samavṛtti Prāṇāyāma,समवृत्ति प्राणायाम,null
212,Viṣama Vṛtti Prāṇāyāma,विषमवृत्तिप्राणायाम,null
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,82
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,84
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,85
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,86
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,87
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,89
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,90
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,91
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,92
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,83
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,88
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,93
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,94
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,95
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,96
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,97
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,99
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,100
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,101
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,102
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,103
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,104
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,105
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,106
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,107
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,108
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,109
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,110
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,111
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,112
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,113
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,114
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,115
216,Sahita and Kevala Kumbhaka Prāṇāyāma,सहितकेवलकुम्भकप्राणायाम,null
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदना प्राणायाम,116
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,117
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,118
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,119
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,120
217,Chandra Bhedana Prāṇāyāma,चंद्रभेदन प्राणायाम,121
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,122
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,123
217,Chandra Bhedana Prāṇāyāma,चन्द्र भेदन प्राणायाम,124
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,125
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदनप्राणायाम,126
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदनप्राणायाम,127
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,128
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,129
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,130
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,131
218,Dhyāna,ध्यान,null
219,Jālandhara bandha,जालन्धरबन्ध,null
220,Mūla Bandha,मूलबन्धश्सन,null
221,Abhyaṅga,अभ्यङ्ग,null
222,Sañcālana,सञ्चालन,null
223,Jhulana,झुलना लुरहकानासन,null
224,Vajrāsana,वज्रासन,null
225,Praṇāmāsana,प्रणामासन,null
226,Ūrdhva Hastāsana,ऊर्ध्व हस्तासन,null
227,Aśwa Sañcalanāsana,अश्व संचलनासन,null
228,Aṣṭāṅga Namaskāra,अष्टाङ्ग नमस्कार,null
229,Svastikāsana,स्वस्तिकासन,null
230,Ardha Padmāsana,अर्ध पद्मासन,null
231,Sukhāsana,सुखासन,140
232,Nāsā Mudrā,नासामुद्रा,null
233,Paścimānamaskārāsana,पश्चिमानमस्कारासन,null
234,Ardha Halāsana,अर्ध हलासन,132
234,Ardha Halāsana,अर्ध हलासन,133
235,Viparītakaraṇī,विपरीतकरणी,null